,time,temperature
563,2018-11-01 09:25:17.891366,13.09
564,2018-11-01 09:25:18.194132,13.0
565,2018-11-01 09:25:18.500546,13.04
566,2018-11-01 09:25:18.805421,13.0
567,2018-11-01 09:25:19.110322,12.95
568,2018-11-01 09:25:19.418617,13.05
569,2018-11-01 09:25:19.721138,13.05
570,2018-11-01 09:25:20.024637,13.05
571,2018-11-01 09:25:20.328603,13.03
572,2018-11-01 09:25:20.638728,13.02
573,2018-11-01 09:25:20.941205,13.0
574,2018-11-01 09:25:21.247874,13.07
575,2018-11-01 09:25:21.549131,13.14
576,2018-11-01 09:25:21.855379,13.09
577,2018-11-01 09:25:22.160448,13.14
578,2018-11-01 09:25:22.464454,13.06
579,2018-11-01 09:25:22.770837,13.21
580,2018-11-01 09:25:23.074442,13.24
581,2018-11-01 09:25:23.379316,13.21
582,2018-11-01 09:25:23.684955,13.32
583,2018-11-01 09:25:23.991405,13.27
584,2018-11-01 09:25:24.295886,13.35
585,2018-11-01 09:25:24.605702,13.26
586,2018-11-01 09:25:24.903879,13.26
587,2018-11-01 09:25:25.208749,13.34
588,2018-11-01 09:25:25.514851,13.42
589,2018-11-01 09:25:25.821255,13.44
590,2018-11-01 09:25:26.124826,13.48
591,2018-11-01 09:25:26.427726,13.41
592,2018-11-01 09:25:26.736082,13.62
593,2018-11-01 09:25:27.039508,13.49
594,2018-11-01 09:25:27.394848,13.51
595,2018-11-01 09:25:27.699775,13.5
596,2018-11-01 09:25:28.005490,13.57
597,2018-11-01 09:25:28.360993,13.65
598,2018-11-01 09:25:28.667087,13.69
599,2018-11-01 09:25:28.969726,13.77
600,2018-11-01 09:25:29.275873,13.83
601,2018-11-01 09:25:29.581806,13.74
602,2018-11-01 09:25:29.885800,13.84
603,2018-11-01 09:25:30.193196,13.79
604,2018-11-01 09:25:30.497011,13.85
605,2018-11-01 09:25:30.799366,13.91
606,2018-11-01 09:25:31.112753,13.87
607,2018-11-01 09:25:31.409709,13.93
608,2018-11-01 09:25:31.717665,14.02
609,2018-11-01 09:25:32.020824,14.06
610,2018-11-01 09:25:32.326238,14.15
611,2018-11-01 09:25:32.630813,14.07
612,2018-11-01 09:25:32.934201,14.1
613,2018-11-01 09:25:33.241622,14.15
614,2018-11-01 09:25:33.545808,14.15
615,2018-11-01 09:25:33.850091,14.22
616,2018-11-01 09:25:34.156903,14.25
617,2018-11-01 09:25:34.461341,14.26
618,2018-11-01 09:25:34.765377,14.27
619,2018-11-01 09:25:35.070234,14.38
620,2018-11-01 09:25:35.374719,14.4
621,2018-11-01 09:25:35.680489,14.44
622,2018-11-01 09:25:35.984848,14.44
623,2018-11-01 09:25:36.289769,14.47
624,2018-11-01 09:25:36.596023,14.49
625,2018-11-01 09:25:36.901210,14.56
626,2018-11-01 09:25:37.206029,14.61
627,2018-11-01 09:25:37.508975,14.57
628,2018-11-01 09:25:37.814473,14.72
629,2018-11-01 09:25:38.120072,14.8
630,2018-11-01 09:25:38.425648,14.72
631,2018-11-01 09:25:38.730975,14.8
632,2018-11-01 09:25:39.035435,14.78
633,2018-11-01 09:25:39.339752,14.84
